"","car_specs","price","mileage","stringAsFactors"
"196","2024 Nissan Kicks S","$25,433",NA,FALSE
"197","2024 Nissan Kicks S","$25,433",NA,FALSE
"198","2024 Nissan Kicks S","$25,433",NA,FALSE
"199","2024 Nissan Kicks S","$25,433",NA,FALSE
"200","2024 Nissan Kicks S","$25,433",NA,FALSE
"201","2024 Nissan Kicks S","$25,433",NA,FALSE
"202","2024 Kia Forte EX | Most Popular Model | 427/QEW Kia","$25,453",NA,FALSE
"203","2024 Nissan Versa SR CVT","$25,498",NA,FALSE
"204","2024 Ram 1500 Sport, Rebel Level 2 Equipment Group, Class IV hit","$61,969",NA,FALSE
"205","2024 Nissan Kicks S","$25,535",NA,FALSE
"206","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,564",NA,FALSE
"207","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,564",NA,FALSE
"208","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,564",NA,FALSE
"209","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,564",NA,FALSE
"210","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,564",NA,FALSE
"211","2024 Hyundai Elantra Preferred IVT","$25,662",NA,FALSE
"212","2024 Nissan Kicks S","$25,683",NA,FALSE
"213","2024 Nissan Kicks S","$25,683",NA,FALSE
"214","2024 Chevrolet Corvette Stingray Coupe 1LT","$99,014",NA,FALSE
"215","2024 Nissan Kicks S","$25,683",NA,FALSE
"216","2024 Nissan Kicks S","$25,683",NA,FALSE
"217","2024 Nissan Kicks S","$25,683",NA,FALSE
"218","2024 Nissan Kicks S","$25,683",NA,FALSE
"219","2024 Nissan Kicks S","$25,683",NA,FALSE
"220","2024 Nissan Versa SR CVT","$25,698",NA,FALSE
"221","2024 Nissan Versa SR CVT","$25,698",NA,FALSE
"222","2024 Kia Forte EX | Most Popular Model | 427/QEW Kia","$25,703",NA,FALSE
"223","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"224","2024 MINI Convertible S- Premier/Heated Steering Wheel/Carplay","$50,942",NA,FALSE
"225","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"226","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple Carplay","$25,814",NA,FALSE
"227","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"228","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"229","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"230","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"231","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"232","2024 Nissan Kicks S Push Button Start | Blind Spot | Apple CarPlay","$25,814",NA,FALSE
"233","2024 Mitsubishi Mirage GT","$25,856",NA,FALSE
"234","2024 BMW X3 XDrive30e BMW SALES EVENT  LIMITED TIME OFFER","$64,357",NA,FALSE
"235","2022 Mitsubishi RVR ES FWD","$25,878",NA,FALSE
"236","2024 Kia Forte EX IVT | service loaner","$25,963",NA,FALSE
